stock,headline,article_url,source,published_time,scraped_at
RELIANCE.NS,"India's Reliance to buy up to 150,000 bpd of Russian oil from February",https://finance.yahoo.com/news/indias-reliance-buy-150-000-123912146.html,Reuters,3h ago,2026-01-29 16:37:44.520493+00:00
RELIANCE.NS,"India's Reliance to buy sanctions-compliant Russian oil in February and March, sources say",https://finance.yahoo.com/news/indias-reliance-buy-sanctions-compliant-132556976.html,Reuters,8d ago,2026-01-29 16:37:44.520570+00:00
RELIANCE.NS,Reliance Industries Ltd (WBO:RLI) Q3 2026 Earnings Call Highlights: Strong Revenue Growth ...,https://finance.yahoo.com/news/reliance-industries-ltd-wbo-rli-010045502.html,GuruFocus.com,8d ago,2026-01-29 16:37:44.520643+00:00
RELIANCE.NS,How The Story Behind Reliance Industries (NSEI:RELIANCE) Fair Value Is Quietly Changing,https://finance.yahoo.com/news/story-behind-reliance-industries-nsei-001226666.html,Simply Wall St.,9d ago,2026-01-29 16:37:44.520704+00:00
RELIANCE.NS,India's Reliance falls after missing profit view on retail slowdown,https://finance.yahoo.com/news/indias-reliance-falls-missing-profit-043827056.html,Reuters,10d ago,2026-01-29 16:37:44.520765+00:00
RELIANCE.NS,Billionaire Mukesh Ambani's Reliance misses quarterly profit view,https://finance.yahoo.com/news/reliance-industries-third-quarter-profit-134255908.html,Reuters,13d ago,2026-01-29 16:37:44.520840+00:00
RELIANCE.NS,OPEC regains share in India as Russian oil imports slump in December,https://finance.yahoo.com/news/opec-regains-share-india-russian-155130777.html,Reuters,13d ago,2026-01-29 16:37:44.520898+00:00
RELIANCE.NS,HiTHIUM Clarifies Recent Media Reporting on Alleged Discussions with Reliance Industries,https://finance.yahoo.com/news/hithium-clarifies-recent-media-reporting-162000637.html,PR Newswire,15d ago,2026-01-29 16:37:44.520967+00:00
RELIANCE.NS,India's Reliance Industries says battery manufacturing plans on track,https://finance.yahoo.com/news/indias-reliance-pauses-cell-making-005555266.html,Reuters,17d ago,2026-01-29 16:37:44.521083+00:00
RELIANCE.NS,iShares India ETF Is The Easy Way To Invest in India in 2026,https://finance.yahoo.com/news/ishares-india-etf-easy-way-153914898.html,24/7 Wall St.,19d ago,2026-01-29 16:37:44.521141+00:00
RELIANCE.NS,"India's Reliance in talks for US permit to buy Venezuelan oil, sources say",https://finance.yahoo.com/news/indias-reliance-talks-us-permit-154636038.html,Reuters,19d ago,2026-01-29 16:37:44.521206+00:00
RELIANCE.NS,Drifting Tanker Reveals Major Hurdle for Trump Plan to Revive Venezuela’s Oil,https://finance.yahoo.com/news/drifting-tanker-reveals-major-hurdle-170008641.html,Bloomberg,19d ago,2026-01-29 16:37:44.521270+00:00
RELIANCE.NS,India's Reliance would consider buying Venezuelan oil if allowed,https://finance.yahoo.com/news/indias-reliance-industries-consider-buying-133524692.html,Reuters,20d ago,2026-01-29 16:37:44.521323+00:00
RELIANCE.NS,India's stock benchmarks fall most in over 4 months on renewed US tariff jitters,https://finance.yahoo.com/news/india-stock-benchmarks-set-muted-022447577.html,Reuters,21d ago,2026-01-29 16:37:44.521376+00:00
RELIANCE.NS,"Indian shares slip from near record highs as Reliance, HDFC Bank weigh",https://finance.yahoo.com/news/indian-shares-slip-near-record-101632668.html,Reuters,23d ago,2026-01-29 16:37:44.521427+00:00
RELIANCE.NS,India's January Russian oil imports may fall sharply as Reliance expects no deliveries,https://finance.yahoo.com/news/indias-january-russian-oil-imports-073231211.html,Reuters,23d ago,2026-01-29 16:37:44.521478+00:00
RELIANCE.NS,India’s billionaires struggle to woo Trump,https://finance.yahoo.com/news/india-billionaires-struggle-woo-trump-020346954.html,Financial Times,30d ago,2026-01-29 16:37:44.521532+00:00
RELIANCE.NS,"Exclusive-India claims $30 billion from Reliance Industries, BP for underproduction from gas field, sources say",https://finance.yahoo.com/news/exclusive-india-claims-30-billion-163839863.html,Reuters,30d ago,2026-01-29 16:37:44.521584+00:00
RELIANCE.NS,"India's Reliance Industries says there is no $30 billion claim against company, BP",https://finance.yahoo.com/news/indias-reliance-industries-says-no-154008862.html,Reuters,1mo ago,2026-01-29 16:37:44.521634+00:00
RELIANCE.NS,Sector Update: Energy Stocks Advance Pre-Bell Monday,https://finance.yahoo.com/news/sector-energy-stocks-advance-pre-142733876.html,MT Newswires,1mo ago,2026-01-29 16:37:44.521686+00:00
